name,unit,source,sourceNote,sourceOrganization,topics
"ICT service exports (% of service exports, BoP)",,World Development Indicators,Information and communication technology service exports include computer and communications services (telecommunications and postal and courier services) and information services (computer data and news-related service transactions).,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economy & Growth,Infrastructure ,Trade"
"Communications, computer, etc. (% of service exports, BoP)",,World Development Indicators,"Communications, computer, information, and other services cover international telecommunications; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; personal, cultural, and recreational services; manufacturing services on physical inputs owned by others; and maintenance and repair services and government services not included elsewhere.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economy & Growth,Trade"
"Primary income receipts (BoP, current US$)",,World Development Indicators,"Primary income receipts refer to employee compensation paid to resident workers working abroad and investment income (receipts on direct investment, portfolio investment, other investments, and receipts on reserve assets). Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economy & Growth
"Exports of goods and services (BoP, current US$)",,World Development Indicators,"Exports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, net exports of goods under merchanting, nonmonetary gold, and services. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economy & Growth,Trade"
"Exports of goods, services, income and workers' remittances (BoP, current US$)",,Africa Development Indicators,Exports of goods and services are the total value of goods and services exported as well as income and workers' remittances received. Workers' remittances include compensation of employees. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economy & Growth
"Insurance and financial services (% of service exports, BoP)",,World Development Indicators,"Insurance and financial services cover various types of insurance provided to nonresidents by resident insurance enterprises and vice versa, and financial intermediary and auxiliary services (except those of insurance enterprises and pension funds) exchanged between residents and nonresidents.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economy & Growth,Private Sector,Trade"
"Goods exports (BoP, current US$)",,World Development Indicators,Goods exports refer to all movable goods (including nonmonetary gold and net exports of goods under merchanting) involved in a change of ownership from residents to nonresidents. Data are in current U.S. dollars.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economy & Growth,Trade"
"Service exports (BoP, current US$)",,World Development Indicators,"Services refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economy & Growth,Trade"
"Charges for the use of intellectual property, receipts (BoP, current US$)",,World Development Indicators,"Charges for the use of intellectual property are payments and receipts between residents and nonresidents for the authorized use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, and franchises) and for the use, through licensing agreements, of produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast). Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economy & Growth,Science & Technology "
"Exports of goods, services and primary income (BoP, current US$)",,World Development Indicators,"Exports of goods, services and primary income is the sum of goods exports, service exports and primary income receipts. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economy & Growth,External Debt,Trade"
"Transport services (% of service exports, BoP)",,World Development Indicators,"Transport covers all transport services (sea, air, land, internal waterway, pipeline, space and electricity transmission) performed by residents of one economy for those of another and involving the carriage of passengers, the movement of goods (freight), rental of carriers with crew, and related support and auxiliary services. Also included are postal and courier services. Excluded are freight insurance (included in insurance services); goods procured in ports by nonresident carriers (included in goods); maintenance and repairs on transport equipment (included in maintenance and repair services n.i.e.); and repairs of railway facilities, harbors, and airfield facilities (included in construction).","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economy & Growth,Trade"
"Travel services (% of service exports, BoP)",,World Development Indicators,"Travel covers goods and services acquired from an economy by travelers for their own use during visits of less than one year in that economy for either business or personal purposes. Travel includes local transport (i.e., transport within the economy being visited and provided by a resident of that economy), but excludes international transport (which is included in passenger transport. Travel also excludes goods for resale, which are included in general merchandise.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economy & Growth,Trade"
"Foreign direct investment, net inflows (BoP, current US$)",,World Development Indicators,"Foreign direct investment refers to direct investment equity flows in the reporting economy. It is the sum of equity capital, reinvestment of earnings, and other capital. Direct investment is a category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the ordinary shares of voting stock is the criterion for determining the existence of a direct investment relationship. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.","Economy & Growth,Financial Sector ,External Debt"
"Foreign direct investment, net inflows (% of GDP)",,World Development Indicators,"Foreign direct investment are the net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other long-term capital, and short-term capital as shown in the balance of payments. This series shows net inflows (new investment inflows less disinvestment) in the reporting economy from foreign investors, and is divided by GDP.","International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Economy & Growth,Financial Sector ,Climate Change"
Primary income on FDI (current US$),, International Debt Statistics: DSSI,"Primary income on foreign direct investment covers payments of direct investment income (debit side), which consist of income on equity (dividends, branch profits, and reinvested earnings) and income on the intercompany debt (interest). Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook.","Economy & Growth,Financial Sector ,External Debt"
"Portfolio equity, net inflows (BoP, current US$)",,World Development Indicators,"Portfolio equity includes net inflows from equity securities other than those recorded as direct investment and including shares, stocks, depository receipts (American or global), and direct purchases of shares in local stock markets by foreign investors. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments database, and World Bank, International Debt Statistics.","Economy & Growth,Financial Sector ,External Debt"
"Secondary income receipts (BoP, current US$)",,World Development Indicators,"Secondary income refers to transfers recorded in the balance of payments whenever an economy provides or receives goods, services, income, or financial items without a quid pro quo. All transfers not considered to be capital are current. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economy & Growth
"Personal transfers, receipts (BoP, current US$)",,World Development Indicators,Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Data are in current U.S. dollars.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economy & Growth,Financial Sector "
"Personal remittances, received (current US$)",,World Development Indicators,"Personal remittances comprise personal transfers and compensation of employees. Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual: personal transfers and compensation of employees. Data are in current U.S. dollars.",World Bank staff estimates based on IMF balance of payments data.,"Economy & Growth,Financial Sector ,External Debt"
"Personal remittances, received (% of GDP)",,World Development Indicators,"Personal remittances comprise personal transfers and compensation of employees. Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual: personal transfers and compensation of employees.","World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.","Economy & Growth,Financial Sector "
"External debt stocks, total (DOD, current US$)",,World Development Indicators,"Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt. Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Data are in current U.S. dollars.","World Bank, International Debt Statistics.","Economy & Growth,External Debt"
"External debt stocks (% of exports of goods, services and primary income)",, International Debt Statistics: DSSI,"Total external debt stocks to exports of goods, services and primary income.","World Bank, International Debt Statistics.","Economy & Growth,External Debt"
External debt stocks (% of GNI),,World Development Indicators,"Total external debt stocks to gross national income. Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt. Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. GNI (formerly GNP) is the sum of value added by all resident producers plus any product taxes (less subsidies) not included in the valuation of output plus net receipts of primary income (compensation of employees and property income) from abroad.","World Bank, International Debt Statistics.","Economy & Growth,External Debt"
Short-term debt (% of total reserves),,World Development Indicators,Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Total reserves includes gold.,"World Bank, International Debt Statistics.","Economy & Growth,External Debt"
"Short-term debt (% of exports of goods, services and primary income)",,World Development Indicators,Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt.,"World Bank, International Debt Statistics.","Economy & Growth,External Debt"
Present value of external debt (current US$),,World Development Indicators,"Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. This calculation assumes that the PV of loans with a negative grant element is equal to the nominal value of the loan. Data are in current U.S. dollars.","World Bank, International Debt Statistics.","Economy & Growth,External Debt"
"Present value of external debt (% of exports of goods, services and primary income)",,World Development Indicators,"Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. This calculation assumes that the PV of loans with a negative grant element is equal to the nominal value of the loan. The exports denominator is a three-year average.","World Bank, International Debt Statistics.","Economy & Growth,External Debt"
Present value of external debt (% of GNI),,World Development Indicators,"Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. This calculation assumes that the PV of loans with a negative grant element is equal to the nominal value of the loan. The GNI denominator is a three-year average.","World Bank, International Debt Statistics.","Economy & Growth,External Debt"
"Interest payments on external debt (% of exports of goods, services and primary income)",, International Debt Statistics: DSSI,"Total interest payments to exports of goods, services and primary income. Total interest payment is the sum of interest actually paid in currency, goods, or services on long-term debt, interest paid on short-term debt, and charges to the IMF.","World Bank, International Debt Statistics.","Economy & Growth,External Debt"
Interest payments on external debt (% of GNI),, International Debt Statistics: DSSI,Total interest payments to gross national income.,"World Bank, International Debt Statistics.","Economy & Growth,External Debt"
